--	Center	Openings	Link1	Link2	Link3	Link4	Link5	Link6	Status	Checksum
Snake	3	HSCCTPH	THDDSDB	DHDTHCP	SDDHPDH	DTPPDHT	DSCPSCH	UNIQUE	HSCCTPHTHDDSDBDHDTHCPSDDHPDHDTPPDHTDSCPSCH
Blank	4	DSCDBTB	HPHDTBS	TTBDCPC	SPPHDCH	BPSHBHT	SDBBTCS	UNIQUE	DSCDBTBHPHDTBSTTBDCPCSPPHDCHBPSHBHTSDBBTCS
Blank	2,4	HSCHSST	HTDDTHD	DDSHDHC	TCBHCST	THPBDHH	DSSDPTD	UNIQUE	HSCHSSTHTDDTHDDDSHDHCTCBHCSTTHPBDHHDSSDPTD
Blank	1,2,4	HSCSHHD	TCBHSPD	CPPTTSB	CDTDHBT	BBSBSBC	HTDTTBB	UNIQUE	HSCSHHDTCBHSPDCPPTTSBCDTDHBTBBSBSBCHTDTTBB
Blank	3,5,6	HSDBDCC	PPTDPTB	SSDDCPP	SSTTDCB	BHDDDSS	DTDPHSH	UNIQUE	HSDBDCCPPTDPTBSSDDCPPSSTTDCBBHDDDSSDTDPHSH
Blank	1,3	HSDDBPC	CCTPDDB	DCPDHPP	SSSBCSB	BHBTDDC	DHDHDPD	UNIQUE	HSDDBPCCCTPDDBDCPDHPPSSSBCSBBHBTDDCDHDHDPD
Blank	2,3,4,6	HSDDPSH	DDBPTCT	HTHHBTD	CHTHDDB	CBPCHTD	CHPBCHB	UNIQUE	HSDDPSHDDBPTCTHTHHBTDCHTHDDBCBPCHTDCHPBCHB
Blank	3,6	HSDSCSD	PCBDHTB	BDDTTST	SCBCDHP	SSSBSBT	HBSDPDB	UNIQUE	HSDSCSDPCBDHTBBDDTTSTSCBCDHPSSSBSBTHBSDPDB
Blank	6	HSHCCHB	BBSSHBC	CSTBPHC	SBPDHBS	BTHPBBH	HTCBPHS	UNIQUE	HSHCCHBBBSSHBCCSTBPHCSBPDHBSBTHPBBHHTCBPHS
Clover	2,3	HSHHBTB	DBDCDCP	PCBHBHC	BTHTCCD	CCTPDHT	BPHSDBH	UNIQUE	HSHHBTBDBDCDCPPCBHBHCBTHTCCDCCTPDHTBPHSDBH
Blank	2,6	HSHPBDS	PCSSPCP	CTTBPDH	PHSBBSB	BDBHSDH	TBBTSPP	UNIQUE	HSHPBDSPCSSPCPCTTBPDHPHSBBSBBDBHSDHTBBTSPP
Blank	2,6	HSHPHPC	DDHHPBH	TPBSHTD	HHDBPTP	STBCHCT	BBHDTHD	UNIQUE	HSHPHPCDDHHPBHTPBSHTDHHDBPTPSTBCHCTBBHDTHD
Blank	3	HSPCHHB	HDBHBCD	HHDDCTD	PTTTTBT	DTPSHDT	CSTHBPH	UNIQUE	HSPCHHBHDBHBCDHHDDCTDPTTTTBTDTPSHDTCSTHBPH
Blank	3,6	HSPHBSD	DPPHCHP	HHHHDST	SCPDHBS	DPCTBTD	TBBSCDD	UNIQUE	HSPHBSDDPPHCHPHHHHDSTSCPDHBSDPCTBTDTBBSCDD
Blank	4,6	HSPSCDP	DDBHDBH	BDSDDHP	PBDDHDD	THHTSSP	CTPPHSD	UNIQUE	HSPSCDPDDBHDBHBDSDDHPPBDDHDDTHHTSSPCTPPHSD
Blank	2,6	HSPSPCB	PPDCSDS	CPCBDHT	BSCPHCS	DTCHCBD	PTHPCDC	UNIQUE	HSPSPCBPPDCSDSCPCBDHTBSCPHCSDTCHCBDPTHPCDC
Plus	1	HSSSPDC	PBPCDTC	CDBCCTT	DPSHSDB	HBBBSPC	PDTDPHH	UNIQUE	HSSSPDCPBPCDTCCDBCCTTDPSHSDBHBBBSPCPDTDPHH
Hex	1,5	HSTCDHP	BCCHBHS	DDBTHSC	CCSBHPD	DCSTSTP	HCSCHCP	UNIQUE	HSTCDHPBCCHBHSDDBTHSCCCSBHPDDCSTSTPHCSCHCP
Blank	4,6	HSTDSDD	PSDCSHT	CBHCBTT	CPTHTDT	DDPDTHB	STBHBPT	UNIQUE	HSTDSDDPSDCSHTCBHCBTTCPTHTDTDDPDTHBSTBHBPT
Clover	2,5	HSTPPBT	PDSSDHT	HTBBDBB	SSBBPPP	TPTTDHH	CTTHPTP	UNIQUE	HSTPPBTPDSSDHTHTBBDBBSSBBPPPTPTTDHHCTTHPTP
Plus	5	HSTSDCH	HHBHTHH	TPSTTTP	TDCBCSB	TPDBHDC	BBSTCDD	UNIQUE	HSTSDCHHHBHTHHTPSTTTPTDCBCSBTPDBHDCBBSTCDD
Blank	5,6	HSTTDTS	SSPTDSD	PHCCDSC	PTBHTTC	CSBTDCP	STTDDCS	UNIQUE	HSTTDTSSSPTDSDPHCCDSCPTBHTTCCSBTDCPSTTDDCS
Snake	2	HSTTHHD	BBHDBTS	BHDDBHT	DTPBPSS	SHSDTCT	BHBCBHT	UNIQUE	HSTTHHDBBHDBTSBHDDBHTDTPBPSSSHSDTCTBHBCBHT
Blank	3,6	HTBBBTC	STDDHTD	PBPPPDP	TDBHCTP	PBCDTCD	DTTBSPP	UNIQUE	HTBBBTCSTDDHTDPBPPPDPTDBHCTPPBCDTCDDTTBSPP
Blank	5	HTBBTBT	HHHDBDT	TTHCBTH	HBBBSDT	CDBTDDT	CHDHHSB	UNIQUE	HTBBTBTHHHDBDTTTHCBTHHBBBSDTCDBTDDTCHDHHSB
Clover	3,5,6	HTBCHBB	DBCPTDD	HCHSDPT	CCHDHBH	CTBHCDT	CCSCPSH	UNIQUE	HTBCHBBDBCPTDDHCHSDPTCCHDHBHCTBHCDTCCSCPSH
Blank	2,4,5,6	HTBDCBT	BCSHTPT	HDHBDSC	TPHBPHC	DBCHHTT	PTPCBBD	UNIQUE	HTBDCBTBCSHTPTHDHBDSCTPHBPHCDBCHHTTPTPCBBD
Blank	1	HTCBDBS	SHSTBTH	PDCDPSP	SPBBTCB	BSCTHSS	SBHBTCD	UNIQUE	HTCBDBSSHSTBTHPDCDPSPSPBBTCBBSCTHSSSBHBTCD
Plus	3	HTCBPPT	HBCBDDT	CHCDHBC	SDSCDHD	DTBCBDS	DHSTDBH	UNIQUE	HTCBPPTHBCBDDTCHCDHBCSDSCDHDDTBCBDSDHSTDBH
Blank	1,2,4	HTCDDHC	CTCDBST	SCBBTDC	TBTHSCP	PCSTSPH	BHCSDTB	UNIQUE	HTCDDHCCTCDBSTSCBBTDCTBTHSCPPCSTSPHBHCSDTB
Blank	2,5	HTCHBSS	BBSDDSP	TTPSBDP	DTPSHSH	BDCHCBP	CPHCSCH	UNIQUE	HTCHBSSBBSDDSPTTPSBDPDTPSHSHBDCHCBPCPHCSCH
Clover	1	HTCSCTC	HBTCHSP	BHTBPBH	HDCPHBD	BDHBBSB	HHTSBBC	UNIQUE	HTCSCTCHBTCHSPBHTBPBHHDCPHBDBDHBBSBHHTSBBC
Blank	5	HTCSHPB	PTPHDTP	CPDDBCC	PPBHBHB	CHDHDTT	CCTSDSH	UNIQUE	HTCSHPBPTPHDTPCPDDBCCPPBHBHBCHDHDTTCCTSDSH
Blank	1	HTDPTDS	SPPHPPT	DTCCTHT	PSHPBCD	PBDTDSC	DBCSHHT	UNIQUE	HTDPTDSSPPHPPTDTCCTHTPSHPBCDPBDTDSCDBCSHHT
Blank	1	HTHSPBT	CSCPSCD	PHSTSHD	TPPDPDC	CCHCDST	DSCDCCC	UNIQUE	HTHSPBTCSCPSCDPHSTSHDTPPDPDCCCHCDSTDSCDCCC
Blank	2,5	HTHSTBP	BBBHPCP	PDBCTCD	TBPHSCT	DCCTDSS	CDBTPDD	UNIQUE	HTHSTBPBBBHPCPPDBCTCDTBPHSCTDCCTDSSCDBTPDD
Blank	1,4,6	HTPCBBB	BBBBBBB	BBBBBBB	SDSBSSH	HBTHTTP	TTHCCCD	UNIQUE	HTPCBBBBBBBBBBBBBBBBBSDSBSSHHBTHTTPTTHCCCD
Blank	3,5,6	HTPCSDD	CPBPPPT	PHPDHPT	PHCTHPC	TCCDDCT	DPBTSBS	UNIQUE	HTPCSDDCPBPPPTPHPDHPTPHCTHPCTCCDDCTDPBTSBS
Blank	1,3,4	HTPSSPD	PCSBSCS	PHTSCBC	PSPBPTT	HHCCSTS	DPPBPBH	UNIQUE	HTPSSPDPCSBSCSPHTSCBCPSPBPTTHHCCSTSDPPBPBH
Blank	2,5	HTSCBBP	DTDSPTH	TBSSCPD	HSPHPSC	TCSHHBC	HHBSHCP	UNIQUE	HTSCBBPDTDSPTHTBSSCPDHSPHPSCTCSHHBCHHBSHCP
Blank	1,4	HTSCPBD	HDBCBDS	CBHSPBB	CBSCSTB	SDCSBCB	HHPHHSH	UNIQUE	HTSCPBDHDBCBDSCBHSPBBCBSCSTBSDCSBCBHHPHHSH
Snake	3,5	HTSSBBH	CTTSDCC	HSTSDSP	CSDSBDS	BHDTPDC	HPBDTDP	UNIQUE	HTSSBBHCTTSDCCHSTSDSPCSDSBDSBHDTPDCHPBDTDP
Blank	3,6	HTSTDPP	TBBPTHH	DHTDTCC	DDPPPCB	TTPHHTS	BCBPBHH	UNIQUE	HTSTDPPTBBPTHHDHTDTCCDDPPPCBTTPHHTSBCBPBHH
Blank	4	HTSTHTC	TBBCPBB	TPSDTHB	DBTDDPP	BPPDDDP	HTDHHSD	UNIQUE	HTSTHTCTBBCPBBTPSDTHBDBTDDPPBPPDDDPHTDHHSD
Blank	2,6	HTTBPTH	HPDCPBB	SSCDBSD	THBBPSC	HCPPCTP	PPTCBHP	UNIQUE	HTTBPTHHPDCPBBSSCDBSDTHBBPSCHCPPCTPPPTCBHP
Blank	4	HTTHBSP	SHDBPST	HHTCSDH	SHCHTTH	PDHSPSH	SBBCBSS	UNIQUE	HTTHBSPSHDBPSTHHTCSDHSHCHTTHPDHSPSHSBBCBSS
Blank	2,6	HTTHHCS	BTDDSCP	SDPSTDT	HSCCTPH	BCCDCHC	DPSSDBD	UNIQUE	HTTHHCSBTDDSCPSDPSTDTHSCCTPHBCCDCHCDPSSDBD
Blank	1,4	HTTHHSS	BBBBBBB	BBBBBBB	BCTHSCB	SCSSPCT	BCDBPBP	UNIQUE	HTTHHSSBBBBBBBBBBBBBBBCTHSCBSCSSPCTBCDBPBP
Blank	4	HTTPCBP	TSSPBPP	HTDCBSB	PHPTTBS	HHHDCSP	PHCDDSP	UNIQUE	HTTPCBPTSSPBPPHTDCBSBPHPTTBSHHHDCSPPHCDDSP
Blank	1,5	HTTTBTH	DDTSHPT	BPSHBPS	BCHPTTP	TBHSHHB	CPTBTPS	UNIQUE	HTTTBTHDDTSHPTBPSHBPSBCHPTTPTBHSHHBCPTBTPS
Hex	1	PBBBSTH	HHPPDDC	SDSPHBC	SPSHPSP	TDPSTTP	CSPCCTC	UNIQUE	PBBBSTHHHPPDDCSDSPHBCSPSHPSPTDPSTTPCSPCCTC
Blank	2,5	PBBHHBD	HSDTBHT	SCPSSHT	PSTBHDC	DBCPPDD	DPHTBHD	UNIQUE	PBBHHBDHSDTBHTSCPSSHTPSTBHDCDBCPPDDDPHTBHD
Blank	2,4,6	PBBHTTS	PCHPCDB	CSBCTDH	PSHDCBT	CPPDDBC	CSHHCSB	UNIQUE	PBBHTTSPCHPCDBCSBCTDHPSHDCBTCPPDDBCCSHHCSB
Blank	2,6	PBBPPDP	HPHHHDD	BCHBBCS	SSPHBHS	PHPTSTB	PHSHSPB	UNIQUE	PBBPPDPHPHHHDDBCHBBCSSSPHBHSPHPTSTBPHSHSPB
Snake	3,5,6	PBBSCDH	BTHHHHC	CCCHCHD	CCCSHBP	TCPBHCT	CPCHPHS	UNIQUE	PBBSCDHBTHHHHCCCCHCHDCCCSHBPTCPBHCTCPCHPHS
Blank	1	PBBSDTC	PSTTHSP	BBDPPBH	PBTDTTT	PSDBTPS	DDSDPPT	UNIQUE	PBBSDTCPSTTHSPBBDPPBHPBTDTTTPSDBTPSDDSDPPT
Blank	1,2,6	PBCDHDB	SDSHSDS	HTCBBTH	HBHCTSB	CTDHCBB	STCHSCS	UNIQUE	PBCDHDBSDSHSDSHTCBBTHHBHCTSBCTDHCBBSTCHSCS
Blank	2,3,5,6	PBCDPTT	BDSSCTP	CTPHDDS	STTTBSS	DPCDHHT	TTTPDPP	UNIQUE	PBCDPTTBDSSCTPCTPHDDSSTTTBSSDPCDHHTTTTPDPP
Blank	1,2,4,5,6	PBCHTSP	SHSBPPS	CBHTSPS	BCCPPPS	CBBBSHC	PBDSHCS	UNIQUE	PBCHTSPSHSBPPSCBHTSPSBCCPPPSCBBBSHCPBDSHCS
Blank	1	PBCPSTT	DSSPBPD	HPSPHHC	PBCPPDB	PCCDDHD	PDDHTCC	UNIQUE	PBCPSTTDSSPBPDHPSPHHCPBCPPDBPCCDDHDPDDHTCC
Blank	2,4,5	PBCSCCH	PTSDDDP	PDPTPBP	HPDHDCT	SSTDCCS	PBHBHHT	UNIQUE	PBCSCCHPTSDDDPPDPTPBPHPDHDCTSSTDCCSPBHBHHT
Snake	1,4	PBCTBDC	HBSSBDD	BCHTBBC	TDDCDTC	TSBDHCC	HPBHSBB	UNIQUE	PBCTBDCHBSSBDDBCHTBBCTDDCDTCTSBDHCCHPBHSBB
Blank	2,5,6	PBDCDPD	TTBBDTP	SHSCTPH	DDHDCCB	CBCHTBD	TTPCDPH	UNIQUE	PBDCDPDTTBBDTPSHSCTPHDDHDCCBCBCHTBDTTPCDPH
Snake	2,3,5	PBDCHBT	TCDHDDB	BTSTSCH	CDDBSBB	CSPBSCP	DSBCHCH	UNIQUE	PBDCHBTTCDHDDBBTSTSCHCDDBSBBCSPBSCPDSBCHCH
Blank	6	PBDDDHP	PBSTPSH	CPDBSCB	BSBTSBB	BSDTCHS	BDSHCTC	UNIQUE	PBDDDHPPBSTPSHCPDBSCBBSBTSBBBSDTCHSBDSHCTC
Clover	2,3	PBDDSTP	PBPDBSC	CHTTCTS	DPHHPTH	PHCPSTP	CSPBHTH	UNIQUE	PBDDSTPPBPDBSCCHTTCTSDPHHPTHPHCPSTPCSPBHTH
Blank	2,5	PBDPDPS	CBCSTTC	HTBDHPD	THPCDPB	SPCBSCB	CBDDTSH	UNIQUE	PBDPDPSCBCSTTCHTBDHPDTHPCDPBSPCBSCBCBDDTSH
Blank	2,6	PBHDBCC	TPTSHSD	CPSBCCP	CCBDBHD	DPDPSCH	DHTTHHP	UNIQUE	PBHDBCCTPTSHSDCPSBCCPCCBDBHDDPDPSCHDHTTHHP
Clover	1,2,5,6	PBHTHBC	CDTCBBH	SDCSPDT	BDTDDTB	HPSBTDS	CTCSSST	UNIQUE	PBHTHBCCDTCBBHSDCSPDTBDTDDTBHPSBTDSCTCSSST
Diamond	3	PBPBCPD	DCHBHHB	TPHCTST	TTDTBTB	DHBSPCD	PHTCPTB	UNIQUE	PBPBCPDDCHBHHBTPHCTSTTTDTBTBDHBSPCDPHTCPTB
Blank	5,6	PBPBHBT	TPHPTPD	BPCTPTP	DSCSCPP	SCPDSHB	TCTSDDH	UNIQUE	PBPBHBTTPHPTPDBPCTPTPDSCSCPPSCPDSHBTCTSDDH
Blank	1,4	PBPCBCB	DDDTDPT	HCSHCTD	HDPPCHH	CHPDTPH	CHSTDCD	UNIQUE	PBPCBCBDDDTDPTHCSHCTDHDPPCHHCHPDTPHCHSTDCD
Blank	1,2,3,6	PBPDSHT	HBTHCCT	CHDTSBS	TSCDBDC	SPHDDDB	THDHBHB	UNIQUE	PBPDSHTHBTHCCTCHDTSBSTSCDBDCSPHDDDBTHDHBHB
Clover	3	PBPHCPD	THHPDHS	PSTSCDS	BBBBBBB	HBBHTDH	TPDDCST	UNIQUE	PBPHCPDTHHPDHSPSTSCDSBBBBBBBHBBHTDHTPDDCST
Blank	1,3	PBPPSDC	PDCSBTT	TCPPHCS	SSBCCHC	CHBSBTS	BDHCTBS	UNIQUE	PBPPSDCPDCSBTTTCPPHCSSSBCCHCCHBSBTSBDHCTBS
Hex	5	PBPTTHB	PCDDPCP	DPPCCBC	HBHTDCH	CDTSPPD	SDHBDTT	UNIQUE	PBPTTHBPCDDPCPDPPCCBCHBHTDCHCDTSPPDSDHBDTT
Blank	3,5,6	PBSBPHC	TDTBCHT	SPBPTTC	TDPDPST	HDBTDBC	DPPHSSP	UNIQUE	PBSBPHCTDTBCHTSPBPTTCTDPDPSTHDBTDBCDPPHSSP
Blank	1,2,5	PBSDTDS	BPHPTBT	BHPCDPC	SDPBDBD	DHTPSHT	HCTBTTD	UNIQUE	PBSDTDSBPHPTBTBHPCDPCSDPBDBDDHTPSHTHCTBTTD
Blank	2,5	PBTBBTT	SCPSPPH	PHTCSCP	HTHSTBP	BCSBBTP	SHCSDHP	UNIQUE	PBTBBTTSCPSPPHPHTCSCPHTHSTBPBCSBBTPSHCSDHP
Diamond	1,3	PBTBCPB	DHSTPHH	BBBSDTH	DBHSHST	BDPTCPS	HPCCPCD	UNIQUE	PBTBCPBDHSTPHHBBBSDTHDBHSHSTBDPTCPSHPCCPCD
Blank	4,5	PBTCPTB	BBBBBBB	BBBBBBB	CDDHDTB	PBHBTSC	HBCSPTS	UNIQUE	PBTCPTBBBBBBBBBBBBBBBCDDHDTBPBHBTSCHBCSPTS
Blank	5,6	PBTDDCH	SBTDDCP	BTHSBSB	SHBTDTC	HCHPTHP	TCHCPCP	UNIQUE	PBTDDCHSBTDDCPBTHSBSBSHBTDTCHCHPTHPTCHCPCP
Blank	2	PBTDPPS	PSHDHPH	SHDBBBT	CHHHTHH	HSPTSDS	BCPTBDP	UNIQUE	PBTDPPSPSHDHPHSHDBBBTCHHHTHHHSPTSDSBCPTBDP
Blank	4	PBTDTTT	HCBHPCP	HBCCSPB	CCSDDCP	TDTSTSD	CCTBSHC	UNIQUE	PBTDTTTHCBHPCPHBCCSPBCCSDDCPTDTSTSDCCTBSHC
Blank	1,3,6	PBTHDHT	HCCBHDT	SHDPDTT	PTDHCHD	CHCCCCB	SCDTCCH	UNIQUE	PBTHDHTHCCBHDTSHDPDTTPTDHCHDCHCCCCBSCDTCCH
Clover	6	PBTPCDS	CSHCCHP	HSBCBHB	SSCHTHH	SBSCDDS	BTSPSHS	UNIQUE	PBTPCDSCSHCCHPHSBCBHBSSCHTHHSBSCDDSBTSPSHS
Blank	3,4,5,6	PBTTCDS	PPDBPCB	TBCCTCC	SDPTSTS	TPDPDTB	PSPDCTB	UNIQUE	PBTTCDSPPDBPCBTBCCTCCSDPTSTSTPDPDTBPSPDCTB
Hex	1,5	PBTTHST	PBDSBDS	DHSTCCS	HBSHTSH	DCCBPSS	HHDSPSC	UNIQUE	PBTTHSTPBDSBDSDHSTCCSHBSHTSHDCCBPSSHHDSPSC
Blank	5,6	PCBBHBP	BPPDHDS	CPDCTPD	PSCCSDC	CDDSPCC	TSTPHBS	UNIQUE	PCBBHBPBPPDHDSCPDCTPDPSCCSDCCDDSPCCTSTPHBS
Blank	1,2	PCBPPHP	CBCSDCC	BBHCSPP	PTHCBTH	PSHTBSP	BTBSTTS	UNIQUE	PCBPPHPCBCSDCCBBHCSPPPTHCBTHPSHTBSPBTBSTTS
Hex	2,5	PCBPTDS	CPPBDTP	PBCTCHT	HHCCSDD	PDHCHDS	TBCCHBS	UNIQUE	PCBPTDSCPPBDTPPBCTCHTHHCCSDDPDHCHDSTBCCHBS
Blank	1,4	PCBSBTP	BBBBBBB	BBBBBBB	TTPDDTP	PDCTCDT	TPCSCTS	UNIQUE	PCBSBTPBBBBBBBBBBBBBBTTPDDTPPDCTCDTTPCSCTS
Blank	1,4,6	PCBTDPP	HCDPTBT	CCHCSBT	CSTDSTD	PTTHCTC	TCDBDHP	UNIQUE	PCBTDPPHCDPTBTCCHCSBTCSTDSTDPTTHCTCTCDBDHP
Diamond	1	PCBTPPD	HDHSCTP	SSPBCPP	DPSCCDP	SPSPBPS	PPBTSBT	UNIQUE	PCBTPPDHDHSCTPSSPBCPPDPSCCDPSPSPBPSPPBTSBT
Clover	2,5	PCCBCDT	DCDHDCT	BHSPDPP	DBSHSPB	TBSCTTC	BPHSCTH	UNIQUE	PCCBCDTDCDHDCTBHSPDPPDBSHSPBTBSCTTCBPHSCTH
Blank	1,3	PCCBSBC	PDHBSTD	SHCCDSC	SBCHHPB	DDDDSCB	BPBDDDP	UNIQUE	PCCBSBCPDHBSTDSHCCDSCSBCHHPBDDDDSCBBPBDDDP
Blank	2,3	PCCCHCS	SBCTSBT	TBCDBTB	BPHCTTC	PBSDTDC	PCSTTBS	UNIQUE	PCCCHCSSBCTSBTTBCDBTBBPHCTTCPBSDTDCPCSTTBS
Hex	5	PCCSPCB	CTTPHTC	TTDPSSH	DHPHPDD	DHTSTSD	SHSCTPH	UNIQUE	PCCSPCBCTTPHTCTTDPSSHDHPHPDDDHTSTSDSHSCTPH
Clover	1,4	PCCTDSS	BTBSPTH	STTDSCT	SCTDTDS	PPDTCPC	BPTBPPS	UNIQUE	PCCTDSSBTBSPTHSTTDSCTSCTDTDSPPDTCPCBPTBPPS
Snake	6	PCDBSPP	CBHHBHC	HPSSTHH	CSSBDBB	DCHCSPC	SBSDHBS	UNIQUE	PCDBSPPCBHHBHCHPSSTHHCSSBDBBDCHCSPCSBSDHBS
Blank	1,3,4,5	PCDBSSC	DDTCDBP	HPCPCBS	TBSBSCB	TCDHHCT	TBTTCSH	UNIQUE	PCDBSSCDDTCDBPHPCPCBSTBSBSCBTCDHHCTTBTTCSH
Blank	2,4	PCDDHDP	BHCPCDH	DBDPDCH	DDSTBDH	CTSHPPD	SBDPTBB	UNIQUE	PCDDHDPBHCPCDHDBDPDCHDDSTBDHCTSHPPDSBDPTBB
Blank	2,3	PCDSSPC	TTTTHSC	BTCPTHH	HBCTPHP	HCBBPBD	BSPCHCS	UNIQUE	PCDSSPCTTTTHSCBTCPTHHHBCTPHPHCBBPBDBSPCHCS
Blank	1,2,3	PCDTBHT	DBTTBDP	PSPDHBC	HHBPTSC	BBBBBBB	BBBBBBB	UNIQUE	PCDTBHTDBTTBDPPSPDHBCHHBPTSCBBBBBBBBBBBBBB
Blank	1,2,6	PCDTDSS	THCBHTD	SSHHTDD	HTTDDST	DHBCHDB	DTDDTBP	UNIQUE	PCDTDSSTHCBHTDSSHHTDDHTTDDSTDHBCHDBDTDDTBP
Blank	2,3,6	PCHBCBB	SDCHCPD	CBHDPTC	SSCTHPP	DPHCTCD	TCCPHHT	UNIQUE	PCHBCBBSDCHCPDCBHDPTCSSCTHPPDPHCTCDTCCPHHT
Hex	3,5,6	PCHBDST	TSTCHPS	PHDPSSD	DBDTDBD	PHTCBBB	DSCCTCT	UNIQUE	PCHBDSTTSTCHPSPHDPSSDDBDTDBDPHTCBBBDSCCTCT
Blank	6	PCHBHHB	DSDTDPH	CHCDSCD	TPBSPTB	TDHBSDS	BBHPBHT	UNIQUE	PCHBHHBDSDTDPHCHCDSCDTPBSPTBTDHBSDSBBHPBHT
Blank	2	PCHBTHP	TSCCHHS	CHSBPDP	BBBBBBB	DBDTBHD	PCTCHCH	UNIQUE	PCHBTHPTSCCHHSCHSBPDPBBBBBBBDBDTBHDPCTCHCH
Diamond	6	PCHDCHS	BHBBSCC	HSBTBDP	PTHCCPT	BSCHDCH	TTBSCTD	UNIQUE	PCHDCHSBHBBSCCHSBTBDPPTHCCPTBSCHDCHTTBSCTD
Clover	1,6	BHHDHCP	BBBBBBB	BBBBBBB	BBBBBBB	BBBBBBB	DBCDBDC	UNIQUE	BHHDHCPBBBBBBBBBBBBBBBBBBBBBBBBBBBBDBCDBDC
Diamond	1,2,5	PCHDSBS	SPPHHDB	TPBBPST	SSCPPDP	PCHCCTD	SPHSHHS	UNIQUE	PCHDSBSSPPHHDBTPBBPSTSSCPPDPPCHCCTDSPHSHHS
Snake	3,6	PCHHDDP	HCBBPBD	DDPPSPH	SDDHPHC	SHCCBHB	PBPCCHD	UNIQUE	PCHHDDPHCBBPBDDDPPSPHSDDHPHCSHCCBHBPBPCCHD
Blank	3	PCHSDBP	DPHCTCD	BHBTBCC	TPPCTTH	CCCDPSC	DCBPBPB	UNIQUE	PCHSDBPDPHCTCDBHBTBCCTPPCTTHCCCDPSCDCBPBPB
Blank	3,5	PCHTBPC	TDPHDTH	BBHDTHD	TBCCPHC	DHBDHST	BSHDSTC	UNIQUE	PCHTBPCTDPHDTHBBHDTHDTBCCPHCDHBDHSTBSHDSTC
Blank	3,5	PCHTCTB	PSHBBTB	BCDHTHS	DHPBCTC	PPDCPDB	CSSBPTB	UNIQUE	PCHTCTBPSHBBTBBCDHTHSDHPBCTCPPDCPDBCSSBPTB
Blank	2,5,6	PCPCPTD	THSSDCD	BDPCCPH	DHCPBBB	CSCCPCB	SDTSPST	UNIQUE	PCPCPTDTHSSDCDBDPCCPHDHCPBBBCSCCPCBSDTSPST
Blank	1,4	PCPHTDP	BPPDDDP	PDHBCBT	TDBTBHD	BBBBBBB	BBBBBBB	UNIQUE	PCPHTDPBPPDDDPPDHBCBTTDBTBHDBBBBBBBBBBBBBB
Plus	3	PCPTHCB	HHPHCST	BBBCDBC	SBCCHTS	TBSSDSS	DBHDSHD	UNIQUE	PCPTHCBHHPHCSTBBBCDBCSBCCHTSTBSSDSSDBHDSHD
Blank	2,3,6	PCSBBCT	TTCBPDH	CTPCTCT	HDPPBHD	TTDSTHP	PPCBBCB	UNIQUE	PCSBBCTTTCBPDHCTPCTCTHDPPBHDTTDSTHPPPCBBCB
Hex	5	PCSBSPD	SSTPTSS	PHSPSTS	SDCHPBH	SCDHDPD	DCBPDBC	UNIQUE	PCSBSPDSSTPTSSPHSPSTSSDCHPBHSCDHDPDDCBPDBC
Blank	5	PCSDDHD	DTTPHCT	BBSDHBS	BSSHSTT	BPTDCCH	TBHDPCS	UNIQUE	PCSDDHDDTTPHCTBBSDHBSBSSHSTTBPTDCCHTBHDPCS
Blank	2,3,6	PCSHSHB	BSHBSSD	HHTDCDD	TCCHCTS	DBHTPSC	PBBDHTC	UNIQUE	PCSHSHBBSHBSSDHHTDCDDTCCHCTSDBHTPSCPBBDHTC
Blank	3,4,6	PCTCSCT	TCSPPHC	STBDDDB	HPCTSCS	PCPTSHP	SSPSCDD	UNIQUE	PCTCSCTTCSPPHCSTBDDDBHPCTSCSPCPTSHPSSPSCDD
Snake	4	PCTDPHP	HSBHDCT	PSTSDBT	TPHCPHC	SDDBDHD	BTHPSPC	UNIQUE	PCTDPHPHSBHDCTPSTSDBTTPHCPHCSDDBDHDBTHPSPC
Diamond	1,2	PCTHCTC	TCBTBCH	CCCHBSH	HCCPCHT	HHSSDCC	DDTBPTH	UNIQUE	PCTHCTCTCBTBCHCCCHBSHHCCPCHTHHSSDCCDDTBPTH
Clover	1,6	PCTPHSC	TPSDPPD	DBBTHDH	CBHDSSS	SPBHHBT	BCSHBPS	UNIQUE	PCTPHSCTPSDPPDDBBTHDHCBHDSSSSPBHHBTBCSHBPS
Blank	2	PCTTHCH	PHSHCTS	DTSTDDH	BPCHSDC	THCTPBS	HTPBDBS	UNIQUE	PCTTHCHPHSHCTSDTSTDDHBPCHSDCTHCTPBSHTPBDBS
Blank	5	PDBBBDP	CCPTDBC	HCBSBHB	CPDTDHS	DPSHHBC	CDDTPPP	UNIQUE	PDBBBDPCCPTDBCHCBSBHBCPDTDHSDPSHHBCCDDTPPP
Blank	2,3,6	PDBCHPD	SHPHPBC	BHCTHPT	BTCTCCT	CCSHTBT	TCCPHSD	UNIQUE	PDBCHPDSHPHPBCBHCTHPTBTCTCCTCCSHTBTTCCPHSD
Hex	2,3,5	PDBPTBT	PBSTHSP	TBTSSCD	DTSTDPC	DPHCDSS	HCDBDDP	UNIQUE	PDBPTBTPBSTHSPTBTSSCDDTSTDPCDPHCDSSHCDBDDP
