Image	Piece	Links	Code 1	Code 2	Code 3	Code 4	Code 5	Code 6
	Blank	3,4	CDBDCCH	SPDBTDH	PPDSHDS	BDSHPPT	DSDPHTB	STSHBTT
	Blank	6	CDPPTHD	HTCDCDC	CSPCCPH	DCSSCDC	STCCHDD	TTPCDDD
	Blank	1,3,5,6	CDSHDSD	DTCHBSB	BPPPPBB	CHBCHDP	PPSPSCD	TSSDDCC
	Blank	2,5	CHDCCTB	TCPDHTC	BSCPSCS	THDSTPD	DCBTDDH	HCDTPCC
	Blank	1,2,3,4	CHHHSTT	PHSPSHP	DPPBTBB	BTSTTHB	PCSHBHB	HBDCSHD
	Blank	2,3,4,6	CHTSSST	SCCTBHH	DBTTDSP	DCDBTBD	HSCHHBP	CTPCTCT
	Blank	2,6	CPDHHPH	TCCSCPP	BBBBBBB	BBBBBBB	BBBBBBB	DDPDPTD
	Clover	5	CSDTSDT	HSSSHBH	SHHCHTS	TSHCBCT	DTHTPHB	BSDBDPT
	Plus	3,4,6	CTCSTCC	CDBCTPD	HPBCCHD	PCTPHSC	BSPTHTP	DPHSDTC
	Blank	3,5,6	CTSHTDT	PSCPDCP	BTSHSBC	BCSCTTH	THBCPPT	THTSCBH
	Blank	2,5	CTSSDHT	SHHCHDC	PTCHDHB	TPPHPPD	TPPBDSB	CBBBDCB
	Blank	2,6	DBCDPST	PHDDBDS	HBSCPSC	PPHSDHB	DHBBPHB	PSCDPSD
	Blank	1,3	DBCHTTS	CDCBPHD	HDSTTPT	DBCBHTB	PSCTTTD	CPHPTTC
	Plus	1,4	DCBTBHD	HBHSBCT	DPBHDHT	SBBSPBH	SSSBBCD	HTSSPHS
	Blank	2,5	DCDCBPH	HBPTBCH	SSCDBTD	HBDSTTS	HSHCCPT	SPDTBPB
	Blank	5,6	DCHHCCP	BPSTSTS	SDPSCHD	SSTTBCC	CBHCTHD	HDHHBCT
	Blank	3	DCSSTHC	TBPHBHD	PSTTTBT	THSTPCT	DDSBPDB	HBSSTTD
	Blank	1,4	DDBDPTS	HDBHSBD	TSHSDTD	CBSTSBP	TSSHDBH	DPBHDHT
	Blank	2,5	DDCCHTT	STDTHPS	PHHCPHB	STHBTST	PHSCSPC	DSPSPSS
	Blank	1,2,5	DDDDTHB	PHHSPDB	SDTCDHS	CBSBTPB	PCTBHDB	CDTPSDH
	Blank	5	DDPPPCB	CCSTBDH	BBHSDCP	TSDSSDD	PTPSCDB	BHBSTSS
	Blank	2,4,6	DDTPBCD	CDTBTST	HPHDHDH	BTTTCDB	HSTDSPB	SCTPHSC
	Blank	3	DDTPBCP	BTHSPHB	PDDDSBB	CCCBDCB	HPPPDCB	PSDHCBS
	Blank	5	DHHPBBT	HHHPHBS	PPPSPDP	CSSCCHB	PHCTTDT	SSPBHBS
	Blank	2,6	DHPTHSC	PBHBSSP	CBTHBHT	BCSBPPB	PCSTCDB	DCCSTDD
	Blank	4	DHTHBPT	BCDPPSC	HPHSSPD	SPBCPDD	HHTTBST	TSSPTTC
	Blank	1,4	DPCCPHD	HPHHBBD	SPBPTSB	HDBBCTP	HBBCTPH	BTDTSCC
	Blank	1,4,6	DPCHCST	BBBBBBB	BBBBBBB	CPBCHPT	HTDHCPB	TCHDPST
	Blank	3	DPSPPCH	SHTSCSH	CCCSTBP	SCHPPHB	PCHSDPB	STSPSHT
	Blank	2,5,6	DPTCBTT	CCSSSCC	DHSPTCB	BCBHDBD	CCSBHBT	CDHTTSD
	Blank	5	DPTHCTH	TSPDBDP	HPBHSBB	SPHCSCC	DSPDPCS	HTDCBHD
	Blank	4	DSCDBTB	HPHDTBS	TTBDCPC	SPPHDCH	BPSHBHT	SDBBTCS
	Blank	2,5	DTBDBPD	CPBHCPD	BBDTHCS	TTTPSSC	HDSBSTP	SPHCPTB
	Blank	3	DTCCHBD	SHSTBTP	DTHTBCP	PTTBHBP	SBCSPCP	STTCSCD
	Blank	1,2,3,6	DTDTBHB	BHPHSDB	DPCPHBD	SPSDCBT	BSPCSTC	TDTHPDP
	Plus	1,4,6	HBSHPBD	BBBBBBB	BBBBBBB	PTBSCDD	SSPPBHP	CBPPBHH
	Blank	1,4	HCBBSTD	BCBTDSD	BDHCHCS	TCSSSHB	PPDDBCP	DTPPSHH
	Blank	1,4,5	HCBHCPT	PDTHHPC	BBCSHHS	DPSCBSB	PDCHTBP	SPDHHHB
	Blank	3	HCCDTPB	DBTHDCS	CTSTHDH	CTCHPHB	BCBTCTS	HTBBPHD
	Snake	6	HCPTDHP	BTCCSST	DHPSTPC	PTBBSPH	SPHDTTT	CSCCBDD
	Plus	4	HCSBCTB	DCBTBCD	TDDSDTD	BSPSBTB	DDSSPSD	PTSCBHC
	Plus	4,5,6	HDBTDBT	PPSSHBS	CPPSCPP	BDBCTSC	HBSCSBB	CCCHCHD
	Blank	1,2,6	HDTTPDB	HSSTTTD	CSPBSCD	TCSPPPC	BTDDPBS	PBHSPPS
	Blank	2	HHPHCHC	BDPDHDC	TPBPHBD	STSBBHS	PBBHTSB	BCSPPDC
	Blank	1,4	HPTPTCH	BBBBBBB	BBBBBBB	PSBBSTC	BDTTHTH	HCTTPPS
	Clover	3,5,6	HTBCHBB	DBCPTDD	HCHSDPT	CCHDHBH	CTBHCDT	CCSCPSH
	Blank	3,5	HTBHHBD	SHTTPDT	CCPSBTD	CTPTTDC	SBBPDBD	HSCBSDC
	Blank	3	HTHBBTS	DBHBDPP	HHHHTPP	STDTHDB	PDBHDBD	DBPCPPD
	Blank	2,5	HTHSTBP	BBBHPCP	PDBCTCD	TBPHSCT	DCCTDSS	CDBTPDD
	Blank	1,4	HTSCPBD	HDBCBDS	CBHSPBB	CBSCSTB	SDCSBCB	HHPHHSH
	Blank	4	HTSTHTC	TBBCPBB	TPSDTHB	DBTDDPP	BPPDDDP	HTDHHSD
	Hex	5	PBPTTHB	PCDDPCP	DPPCCBC	HBHTDCH	CDTSPPD	SDHBDTT
	Blank	1,4,6	PCBTDPP	HCDPTBT	CCHCSBT	CSTDSTD	PTTHCTC	TCDBDHP
	Blank	1,3,4,5	PCDBSSC	DDTCDBP	HPCPCBS	TBSBSCB	TCDHHCT	TBTTCSH
	Blank	2,3	PCDSSPC	TTTTHSC	BTCPTHH	HBCTPHP	HCBBPBD	BSPCHCS
	Blank	2,3,6	PCHBCBB	SDCHCPD	CBHDPTC	SSCTHPP	DPHCTCD	TCCPHHT
	Blank	6	PCHBHHB	DSDTDPH	CHCDSCD	TPBSPTB	TDHBSDS	BBHPBHT
	Plus	3	PCPTHCB	HHPHCST	BBBCDBC	SBCCHTS	TBSSDSS	DBHDSHD
	Hex	5	PCSBSPD	SSTPTSS	PHSPSTS	SDCHPBH	SCDHDPD	DCBPDBC
	Blank	2,3	PDCCSBB	SHTBCHT	SPSPHHC	HSDDSTD	PDBBHHS	BTHHCHP
	Plus	2	PDCPCCB	SDCSTTD	PCBTDPP	PPTPPHC	CDCBDPT	PSHSTSC
	Clover	2,6	PDDBPSD	SHCCTHH	DPDBSBP	PCTCSCT	HTSDPDH	PDPHBPC
	Blank	2,3,4	PDSTHTH	HPSBTDS	HPTPDSB	SHSDTBD	BDCSDCP	CHBTHSB
	Blank	2,5	PHBSHHP	BBSCTPH	PBHDCDD	PDPBCDS	CBBTBPT	HCPHCPD
	Blank	2,5,6	PHPSTBT	TTHBPCB	TTHTCCC	BBPPDPB	BCSPHSP	CCPBSHT
	Snake	2,3,5,6	PHSBBBD	SHTDDCT	HCDSSBP	CSDTSDT	STPDCHT	SCTHDPC
	Blank	2,5	PPHCHHH	TSPTCHP	PPTDHDT	HPCHDDD	BTBCTPH	TCPTSPD
	Snake	2,6	PSSCPDS	TDTSSBD	SPCCCTS	SCPTHSC	SSHDCPD	SBCSTTB
	Clover	1,4	PSTTCBD	STHPBPD	DBPDHHH	CBHTTDS	PBBDTCB	BSDBCPD
	Clover	3	PTCHHPP	BSBHPTS	DPPHSSP	PHBPSHS	BBHBCPH	CPTBSDT
	Diamond	5,4,9,4,6	SBDDSDS	HPSCCCB	BHPCBSB	DSBHBPC	PBSBCTB	BPCPDCH
	Blank	3,5,6	SBHDDPD	PSSSHSB	THPBTCD	DSDSBPS	TCHCPSC	SPBHHSP
	Blank	4	SBSTSPH	THBPSPD	CHHSPTC	CPPSDSH	CBCHBDC	DTCDCHS
	Blank	5	SCCCCHC	TSDSSBT	SHHPHTD	TCCBPPH	PTCPHPH	CSTPTSD
	Blank	2	SCDTHBC	SCCBTSH	PDTDTDB	SCDPBHP	SSTBCSS	DCHPHCS
	Snake	3	SCHDHDT	PSHHCHP	SCDTCCH	HBCSSCP	THTPTPB	TPDTPCB
	Plus	5	SCPPTTT	TBDDDHB	PCDCCPT	PTBTHDB	SCCTBHH	CCHPCBS
	Clover	3,6	SDBHDHD	PSHPPDS	DTPHCCD	TSCBBPP	TSBDTDC	BPTCDBS
	Blank	2,5,6	SHPBBHP	DHTTCPD	SDCBBCP	BHDBBCT	SBCHCBH	SSCDBTD
	Blank	5	SHPTDPT	HBBBSPC	CSTCSBP	HSDTDHP	PHBBPTD	BTBPSTP
	Blank	2,5	SHSBBBD	DDHBCTS	BPBBBTH	DDHSCBH	CCHTPCS	CSTBSTT
	Plus	5	SPSBBCS	TCPTTSB	HCDTPCC	PHBSHSP	HCBDTHS	CPSPTTD
	Blank	6	SPSBDBH	TBSBCBT	CPBSCTS	DTTHSTB	HCBTDHP	BCDTCTD
	Blank	2,6	SSBPPHB	SDBHCCB	CPSDDCP	TCBPBPD	PPBBBDS	DBDBHPB
	Blank	2,3,5,6	SSHDCSB	DSCTPDS	PCPHPPT	STHCSCT	TDTPCBC	TSSTDBH
	Blank	5	SSSPCHP	TCPDPHB	CPPHCDC	TTBHPPS	HBDCCSD	TPDSPPH
	Blank	1,4	STBCCCD	PTBCSPT	SDCCPPT	HPDPCHD	HHDHPTC	SPSBBBT
	Blank	3,5	STDSDDS	CHBPSTC	HPPPCPD	HCPHCPD	HTPSHPP	SCHBBHB
	Diamond	2	STHBDTS	TCPBHCT	SHCTCBB	SDPSBTB	HTPTHDP	SDTHBSP
	Blank	3,6	STSCPTD	PCCCDBC	CSCSHHS	DPSPDTB	BDDDPTP	BPDTHSS
	Blank	1,3,6	STTCSBT	BBSTSCD	SSHPTPD	BBBBBBB	SCCBBCS	STPTBHT
	Diamond	3	STTSSCT	HTCBDDT	PTCCPSD	DBPHSPH	DTPCDCH	HSCSBSH
	Blank	2,4,5	TBBTBHH	TCDHHCT	CDDPTPD	BHHSTSC	BDPPSBC	DBHHBDS
	Clover	5	TBDHHPC	PHCDHPC	BPPCDSB	BDSTHDS	PPBPTHT	BSCHPPD
	Blank	6	TBHDDSH	BDTBDSC	BTHHCHP	HHTDBHC	HHHTDDH	HHHPDCB
	Clover	1	TBTCHDS	BTDSSPT	THDHTSP	PPPBPSS	HHHTSBD	TTPCSHP
	Blank	5	TCBCSBD	BBTPCSD	CPDPCHD	DCDCCHT	TPSTPPP	HPBCHTP
	Hex	3,5,6	TCCHCTS	CPPDDSC	THDHBHB	PTDHCSH	PBSBTTS	BHDHHTP
	Snake	3,5	TCCPCSD	HCDHPHB	HHDCSHT	SSPPHDB	BCPCHDT	TCDPPTC
	Hex	5	TCDHBTP	TTSBSTP	BBSPDHH	SSSPCHP	HPBPTSC	SPHBHBH
	Blank	1,3,4	TCSBPPB	DSTBTTC	SCTCTPC	BSBDSSB	CPBHDHD	BPTBDPH
	Hex	4	TDDHBHB	BBBBBBB	BBBBBBB	DTCHTDH	CDHPHDH	CTPHTTC
	Blank	2,3,4,5,6	TDPHBPB	DTHSHDT	STSSBSD	CHHHHSD	PDBHSTB	HBCHTBD
	Blank	6	TDPSPHP	PTCDPPH	PBCPCTP	BBSSCDP	DPDPCDB	HHHHDST
	Blank	1,3,6	TDSDSPC	HCCSSPP	SPSHPCC	PDCHPPS	DPTDBPB	HDHHBTS
	Blank	1,4	TDSPTHP	BBBBBBB	BBBBBBB	HDPBCSP	TBSBCBT	CPBHPPS
	Blank	1,3,6	TDTSSHH	CDPCDTT	PHPCSCB	BBHHHDB	BPTPTSC	CCDCPDS
	Blank	6	THBPPHT	PPDDBCP	BPHDTHS	DSCDBPS	PSHPSCD	SHDDHHS
	Blank	2,5,6	THCTCCP	DPCHBDT	BSCHCPT	CHDCHDS	HBCPHBS	BHDTPPC
	Blank	2,3,5	THDDTBP	SHSBCHB	TDTHCDD	TPCBDPB	TCHTSPT	SSTPBPP
	Blank	1,3,5	THHSTSB	SSDBTDC	CPSCBTC	TTHDBBB	BBTSCHS	TPSTTTP
	Hex	2,5	THPCDPB	TTDHTBP	HPDCBCD	PPTSHHD	HPHTDBP	BCSCTSS
	Blank	2,3,5	THTDCTB	BHPCBSP	CBTBCTB	CCTPTDT	HPDHCHP	CCDHHSH
	Hex	3	TPCCSPC	BDDCSHH	PCPHPSC	HTSBSSP	DTDDCDD	TPCDPCS
	Blank	5	TPDTHBD	TBBTSCS	DSDTBSC	HTTTTPT	TDTBTBH	CBBHSPS
	Blank	4,6	TPHBHPP	CSHPPBP	PBSHBBP	PSTBPDH	DCBHSDT	TPBPPTD
	Blank	2,4	TPHTCSS	HDCCPSP	TSHSDCD	PTBDBTB	BBBBBBB	BBBBBBB
	Blank	3	TSBDDCB	STSSSTH	CTHPCSC	DDHCDCS	PPSSSPS	TSTHCPT
	Blank	3,5	TSCCTSP	HBBPSTS	TBTCCSP	SBCCBTD	SPBPHBP	CCDTCDH
	Blank	2	TTBBPTP	BHHSBDC	PBSCPDB	CSDPPTP	SBCCBST	BCHCDTT
	Blank	4	TTCCPBC	DPDCPPT	TSPSSDB	HHPDTBT	SCBCPBC	STPBHSP
	Clover	2,3,5	TTCHCDB	DBSTPDH	TPPHCCD	SHPSDBC	SPPCTPC	SSCPDTT
	Clover	5,6	TTDDPPH	CCTDTBP	CPCHHPB	BSSDTDB	CSSPCTD	HTDCBHB
	Snake	3	TTHPBBT	DBHBBHT	DPTCPHD	BBBCCSH	BSDBDTS	SDCCBCC
	Blank	2,4,6	TTHTHCB	DBSDPBH	STHHPBD	SHDPDDH	PBTDPHH	TTHCPBS
	Blank	4	TTPTTHD	CCCPTCP	BCSBHDH	DHCPHHH	DSSPBPD	PTDPDDH
	Blank	1,2,3	TTSDDSH	PCSBHTP	BPCHPCH	TCSDDBH	CDCPTBS	CPSSHHT
	Blank	2,4	TTTCBDH	SSBDBHD	PDSSPSP	PSPBTDC	HDBCBDS	TTDTCCP
	Blank	1	TTTCSDB	SCPDTPS	SSBCCCC	SDTCHHT	DTSBHCT	DTDPCHB
	Blank	6	TTTCTHB	BHCDHDS	PHPTDTS	PPSSHTC	CDBTTBH	TDBCTSB
	Blank	1,2	SHDTDPB	SBBHBPD	TDPPPTD	BCDTBBC	DDCSDDD	PBPTCCT
	Blank	2,5	HHCSHCD	HSCBSCS	CPCDBBT	SHTTBBD	PCCSBPS	HDSDBBC
	Blank	1,4,6	HSDSPSS	BBBBBBB	BBBBBBB	PSCSHBD	PCCPTHC	HHHPCBD
	Blank	3	HHCPCTP	DCDBHCD	BDBBHTH	CSSSBCP	PPBHTCC	CSTBPHC
	Blank	5	PTPBCTC	PPSCPTH	SHDSHPP	TBBPSCT	BPHSTCB	DDCHDTT
	Blank	1,2,3,4,5,6	CPCPCTT	TTDDTDT	HSCTTST	CHTCCPC	BBBBBBB	BBBBBBB
	Blank	6	THCBCPH	STHCSTT	HCHSTTT	SBTTHDT	TTTSPDB	CPTTSPT
	Blank	1,2	HHCCSPH	CHTCPHP	DTTSPCP	CBCBDPC	TBPDSDP	CTHSHTS
	Snake	1,2,3,4,5,6	HSCCTPH	THDDSDB	DHDTHCP	SDDHPDH	DTPPDHT	DSCPSCH
	Clover	3,5,6	TPPHCHP	BBDBPSS	DHDSTPP	THCBPBS	TTTTHSC	PDPTBSS
	Blank	2,6	SHPBCTT	TTCPDPC	TSTHTDP	PSHHHSB	BPBCHCH	BHCTHPT
	Snake	1,5,6	TBCBHDD	BSPDHCB	HDDHDHT	BTTTTHC	THSTCCP	DCCPPBB
	Hex	2,5	SSCBBCD	DHDDHTS	STHTBPC	CHBPHBT	TCSBHPH	HDBTBHP
	Blank	2,3,6	PDBCHPD	SHPHPBC	BHCTHPT	BTCTCCT	CCSHTBT	TCCPHSD
	Blank	3,6	STSTBPP	HCSCBCS	DPHSDTC	HBBTSHS	BPHDTDC	DHDBTCT
	Blank	2,5	HTCHBSS	BBSDDSP	TTPSBDP	DTPSHSH	BDCHCBP	CPHCSCH
	Blank	2,5	CCCCCSB	PDSBDDD	PCSBHBS	CDDCCDB	SDPTPHD	DHSPTCB
	Blank	5	SPPDHCD	BTBDPPT	BPCCBPH	DBCDPST	PHTCDCD	HTSPHHH
	Clover	3,5	TSTCDHP	TSBCDHC	DCTTTDH	SCDPDPC	CCBDCHT	CBHTBSB
	Diamond	3	TSSTPTS	DTDDHPH	SDTCTSB	DTPPTTC	BHDTCHC	DDTSCTT
	Blank	3,5	DHPBCTC	DBDSDCH	BBBSPSP	DDHSCDS	BPBTDCC	STCPTHH
	Blank	2,3,5	HCDTSSC	DBTTDSC	SPHPPSH	PPSHTHS	PHCCTHS	BDDDBSD
	Blank	1,2,3,6	PSSTDSD	HHPHBSD	DDTHSDH	PBBSCPB	CTCDCSP	CHHHSSP
	Blank	1,3	BSPBDHP	HHTDBPS	BCSPSDC	DCCCDHC	HTPBTBC	BDBCCBB
	Blank	5	TTPDSHP	CSTTSCH	HHTTBPP	BBCHSPD	TBPTCTP	SBSPPTT
	Blank	3,4,6	TTDTCDD	DCDCSTD	BDPSCDP	TDHHBCP	SDCCBSD	PHTSPHC
	Hex	6	BSHPCDP	SHBTBHT	SHCBBSS	TTDTCDD	PHDHHSB	HPSSHBT
	Blank	2,5	HDDSBTB	PHPHPPC	PBHCSCD	BCHBBTB	BSDBSHS	BTBPHCB
	Plus	3	BTBPHHS	BPHHBCC	PDBCTBS	BBBBBBB	DPTHTSS	BPHPCPD
	Blank	1,2,3,6	DBHHSCB	BPSTHPH	TSCSBTS	CCCSHCP	BTTTBPP	CSCSHHS
	Snake	3,6	SBCCHTS	SPCTHPB	DPHBCCP	SBBCPTT	CSHCBHB	SCCHDCH
	Blank	6	SDDDSBS	BSHBPPP	CPPSCTS	BPSPCPD	CHPSDPH	CTCDCCT
	Blank	2,3,4,5,6	BHPPHSS	DTTBPST	HHDBDDH	TDPCPDC	TCTSCHD	PDCHPDT
	Blank	5	CDDHHSD	BCPHBTD	CDTHHPT	HBDTPPB	SHTDDCT	HBBDHSD
	Blank	5	BDPDSBB	THTTHPP	CBCPTPH	CSTPHTH	HHHTTDP	PCPTSSP
	Snake	6	PDCTBPP	PHTTDHH	CDHBHDT	SHHDPPC	BPBPDTT	TPHTCPD
	Blank	4	DTDTTTH	BCCTHCS	THDSHBS	HSCTHCB	PBHDCDD	SBTHCBT
	Clover	1,3,5	CCSDDCP	BBTTDSH	STCSDSS	PTPPSDP	SPBSCBS	SCDCTHC
	Plus	2,3,5,6	TBSBCSC	TDCSCHB	PHDDBCP	SSBSPDS	PDSDSHT	CSTHSTC
	Clover	2,3	SDTDPTB	TPTBTCT	SPTHTCH	BDSHPPB	DHBPCDS	HPTHTDB
	Snake	3,6	HBSDBST	HPPHSCT	DDHTSSD	CDCCCCT	CCPCCCB	DPHCCSS
	Blank	2,3,6	DSBHBPC	BDPCSTS	TDDHDSH	BHDPTHH	DDSDDCS	DCSHHSP
	Blank	1,2	CHHBSST	HSDDTPP	DBPCPPD	SDSTSHH	PHTSHDB	PHHPDPC
	Blank	5	TDSHBPB	HTCCBHC	CTSPHDB	HBBSBSC	BPPCDTC	TPCPTCP
	Blank	3	HBSDHSC	CDDTTPP	PDHTPTT	PSCCPCT	DTCPDDP	BSPBPCD
	Blank	3,6	SPDHSDS	SHPCTCH	HBSPPSB	PBBSCDH	TTCPDTT	DPHBCSB
	Blank	2	SBTBHDP	HHBHHDT	DCCTSSP	DPHSPBD	BBBBBBB	BBBBBBB
	Blank	5	DPTSDPB	BBBBBBB	BBBBBBB	TPTBTBS	DCDSTBD	CHBBBSH
	Diamond	1,2,5	SBTDDTD	BPTCHHB	CDBDBTB	CBPTSCB	TPTCCST	HPTSPSC
	Blank	1,4,5	DHCPHHH	CHDHBTS	HDHPCPC	HSBTBDB	SBCTTCD	HPSPHHC
	Blank	3,4,5	DTSTDDP	PSCSSDD	SDTPTPD	BBBBBBB	TPHDCBH	SHHSBBS
	Blank	4,6	SHBHDBD	DPBTCTC	BTCDHCS	BCSSCSS	PDSCSDP	HPBHDBD
	Blank	2,3,6	PTCTPTD	DHDSCCP	CBTDPDH	PDHSTTD	DCBDDCC	SBTSDSH
	Clover	2,3	PBDDSTP	PBPDBSC	CHTTCTS	DPHHPTH	PHCPSTP	CSPBHTH
	Blank	4	CPDPSTP	HDDHPHD	PHBDTBP	HCPTBTB	TTHPBPH	HDPBBDT
	Blank	1,4	SDBDDTS	BBBBBBB	BBBBBBB	CPHPDPB	PTBTTTS	TBTCTBD
	Blank	2,6	SCCPDBB	BTPTBCC	THTBTBH	THBPPSC	BDDHHCD	DHBTHPH
	Blank	5	SHDSTSD	HTDBPTC	HBSTTTH	HSBPSPH	PHBTDST	PBHPDPD
	Blank	3,5,6	HDTHDBD	HSBCTBT	SPCBTHS	DBBSCCS	STPTTSD	DCSDBTD
	Diamond	5	DBCBTBP	DBSSTPS	PCDCPCS	PBBHHBD	CDDSHHD	CSSTPTP
	Blank	2,6	PSCPCSB	CCSBHBT	HHHCBDH	HPDPHDS	CTDDCHP	TCDTDCB
	Blank	2,5	SBCDBTS	HSHSDDP	BBSDPBB	PCTCBCD	BHHBTHT	CHDTPPH
	Blank	1,2,5,6	CBCPBSH	SCDBPSH	STBBSPD	HPSCSPS	BSSPPBS	SDHSTBC
	Blank	2,6	TDCPCPB	CCBDCHT	BCDCPPH	PHTHSSS	DSTTHTB	DBTDTBD
	Hex	5	DPBPBCH	HBSPDDS	TBTBPSP	BCHDBBH	CCTDTPC	THCHCCC
	Blank	2,5,6	PTCTTHS	PSBSHPC	PSSTTDH	BPPHPTP	THTDBPC	SSBBBCP
	Diamond	2,5,6	CDTBBBB	BTHDDST	SHPCTHS	DHBCCCD	HHBTHDD	TBDSBTH
	Plus	2	DCHSTPP	BPPPHHP	BHPDTST	CSTTPDB	DTTBCST	PBSCTCS
	Hex	4,6	SPBBSCC	TPSSPDH	DDBDPPH	SBSSBCS	PDTCSCS	PBDDDPP
	Snake	1,2,5	PTBTDBB	TCTDCPH	PDDPPDS	CSDSBBD	DBCCCSB	PHBDDDB
	Clover	1	HTCSCTC	HBTCHSP	BHTBPBH	HDCPHBD	BDHBBSB	HHTSBBC
	Snake	3	PSHPSSB	HHCTBCD	TCHDPST	CPCHTTB	TCPCSSB	PCBTDPP
	Blank	2,4	HSCHSST	HTDDTHD	DDSHDHC	TCBHCST	THPBDHH	DSSDPTD
	Hex	3,6	CCHDHBH	BBCSCPP	BBTPCDH	TPCTSDS	SCTDBBP	TSDDCCC
	Blank	1,2,6	PCDTDSS	THCBHTD	SSHHTDD	HTTDDST	DHBCHDB	DTDDTBP
	Snake	2,4,6	PHCBPSH	PPPPHBS	TCPCHDH	DDHHDTS	HSCCBTT	BCHSCPH
	Plus	2,3	DCBTHST	DDPCHSH	PBDDDPP	DDPBSHH	SSHSPCT	HPSPBBT
	Clover	6	BBHPDCD	SCCCSSB	BBBBBBB	BBBBBBB	BBBBBBB	STDDCSD
	Blank	3,6	PTTPDHC	PTCHBHP	CPBCBDD	HBSCHSD	TCPDTDD	DCSBPDP
	Blank	2,5	HCTCSDC	PPBDHDB	PCTBBPD	TTHCHTC	DHDDTSH	DBHBCDS
	Snake	2,5	DSSHDBP	DPBBSDT	BSHTPPH	SDPBCTH	PTSPPHH	HCPHTTC
	Blank	4,6	HHTBPHP	HDSDPTS	TSCHCCB	CCPHHHP	SCDBHCH	SPHSTTH
	Blank	1,4	BCSHDHD	BBPPHSS	CPHBDBT	CBPTCBS	BDHDDTS	PHCPPTH
	Blank	2,4	CHDTCPB	SHHBDBC	DTPDTTD	DPBCCTS	SDPHSHB	DSBBPBC
	Blank	2,6	CBHBHST	PDDHPHB	SBPBHSS	DCPHTDT	TPSCSPP	TPTBTDH
	Blank	2,3,6	BBBPHTC	DCCHHTC	BSBSBBB	DBDPPHD	DBDSDCH	BCDHTHS
	Blank	3,5	PSTCHTB	TTPTHPS	TSBBPBT	DHHDTHB	DBCCDTT	THSSBTD
	Blank	6	CSDBBSC	SBCPPTC	SDTBCTB	DCHSTPD	TDSSBDD	PHCBSSC
	Blank	2,5	BBCDDCD	HSHBCDB	HCHHPCP	TPPBTBC	HCTDPST	SPPDTTC
	Blank	2,6	HSHPBDS	PCSSPCP	CTTBPDH	PHSBBSB	BDBHSDH	TBBTSPP
	Clover	2	DSCHTDD	TDDHHTS	BBBBCBC	PTTPDHC	DSDHBPB	CDPSBCC
	Diamond	4	CPSCBCD	BTDTBTH	BHHCTCH	HPSDTSP	HCTSSHC	SSBDDCP
	Blank	6	CDDDPSC	DTDSBHP	CBHTHCS	BSCHBBT	HSSTDDP	PTSSPDH
	Blank	1,2,3,4,5,6	SSBCHHH	BTBPPBS	SBPBHCD	CDDHHCD	STDTHPS	DDSSPHC
	Blank	3,5	PDPSBHS	BHBHHHD	DHSCCBB	BPDSHHP	BCCTDCH	BCPCTHT
	Blank	4,6	CTBTDHC	BBBBBBB	BBBBBBB	DCBSDSS	TBSPHBH	TDCCSDH
	Snake	3,6	SDPCPTS	BTDBCPC	STTDDCS	TCPTDPT	PPPCDDP	SPPHBCS
	Blank	1	CTPPHDC	HHTPSDC	CDTCSCB	PHSHTDH	BHHPPDH	PHDTHDH
	Snake	2,5	BPTHDPB	BTHPHTP	HTSSPHS	SDBHDHH	DHDBCPB	BHTTSHH
	Blank	2,4	HHPHTBB	DTSCBCH	BHDHTBP	HTPBSHH	BTDCSDC	BHBPTPC
	Blank	2,5	PTBHSSP	PDSTBHH	CSSPDBP	CCDDHPD	TPDBDTB	BDBTBSC
	Blank	3	BBBBBBB	BBBBBBB	BTBDTCS	CDHCPTT	HTHDTTS	BBBBBBB
	Blank	3	BBBBBBB	BBBBBBB	HDPBHSB	HSCBDHC	DSPHHPS	BBBBBBB
	Diamond	3,4,5	BBBBBBB	BBBBBBB	SSTDCPS	PCTHHDH	HSSSPPS	BBBBBBB
	Blank	2,6	BBBBBBB	CBPDHHC	HHBSHCP	SDTCSPD	HHHPBDT	HHBCPPH
	Blank	2,6	BBBBBBB	HBSTDHC	PCDTHCB	BBSCDCT	BTDBPCT	SSTDCPS
	Blank	2,6	BBBBBBB	TBPSPDS	HBPHTSD	BTBBCBB	PDTBSTC	CHSHTDD
	Blank	4,6	BBBCCSS	HHHTHBD	CBCSBSD	TCHTSTC	PBDSBDS	TPBCDST
	Blank	1	BBBTCTD	PDSPPSD	PDSPSHH	DHPSTDS	HCSCPBD	BHSDBSP
	Blank	3,5	BBDSTHD	CDSCCDT	SCDDPPH	SCTCBDH	DDDHCDS	TSHHBHS
	Blank	3	BBDTDPH	CTTHDBB	BPTHBBP	PSDBDPH	SSPSSHC	TDDDHDP
	Snake	2,5	BBSBSTP	SHBSPPT	PTPHTCC	STCDHSB	TSPHPHP	PDBSTDT
	Clover	6	BBSCDCT	DBTBDTC	SSSDSPC	DHPHBSC	DPSHDBS	BPPTSTC
	Blank	4,5	BBTSTDH	PPSHDSS	SDBPSHT	BSBSSTS	HDDHBCH	BBHBPBC
	Blank	5	BCBSDSH	BBBBBBB	BBBBBBB	HCDPHHB	HHPHBSD	SSDBHTS
	Blank	1,3,5	BCCCBST	TBBBTPS	PSPSSBT	PHSHCHT	BSPBBDH	PSTSDBT
