Screenshot	Center	Holes (0-5)	Link 0	Link 1	Link 2	Link 3	Link 4	Link 5	Status	Who?	Notes								This is a Dupe	Probably an Error	https://tjl.co/corridors-of-time/	Check #verifiers-rules-and-reqs first				
https://cdn.discordapp.com/attachments/378009570565423106/666898968613093386/unknown.png	Clover	5	PBTPCDS	CSHCCHP	HSBCBHB	SSCHTHH	SBSCDDS	BTSPSHS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://media.discordapp.net/attachments/667145204385579009/667353479244677130/tiger_release_final_20200116_140337.png?width=1618&height=911	Blank	2,3,4,5	PBTTCDS	PPDBPCB	TBCCTCC	SDPTSTS	TPDPDTB	PSPDCTB	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Destiny 2 Screenshot 2020.01.17 - 00.18.00.55.png	Hexagon	0,4	PBTTHST	PBDSBDS	DHSTCCS	HBSHTSH	DCCBPSS	HHDSPSC	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://media.discordapp.net/attachments/667596530798166017/667596700008841236/SPOILER_tiger_release_final_20200116_225305.png?width=1202&height=677	Blank	4,5	PCBBHBP	BPPDHDS	CPDCTPD	PSCCSDC	CDDSPCC	TSTPHBS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/666872924967403550/667408628210204692/code2-Warlock-1pm.jpg	Blank	2,4	PCBDTCC	DPCDBDT	HSCHTDS	PSTPSPS	SHSCBBD	DPSPHCS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/e01d8f00e53133edd17aaea396b3957d	Blank	0,1	PCBPPHP	CBCSDCC	BBHCSPP	PTHCBTH	PSHTBSP	BTBSTTS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/576286039526735892/666942615861723136/TimeLost_vault_lvl2_hex_1_warlock.png	Hexagon	1,4	PCBPTDS	CPPBDTP	PBCTCHT	HHCCSDD	PDHCHDS	TBCCHBS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://drive.google.com/file/d/1Tui7zQNNq2hgWPpk4N2Hmn4ZVL_BBpZk/view?usp=sharing	Blank	0,3	PCBSBTP	BBBBBBB	BBBBBBB	TTPDDTP	PDCTCDT	TPCSCTS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/417c6db1e5cd1c7cd208f86220d4e596	Blank	0,3,5	PCBTDPP	HCDPTBT	CCHCSBT	CSTDSTD	PTTHCTC	TCDBDHP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/3c4b75d3e5c8e38d8b42df0a5000a66d	Blank	1,2,3	PCBTDTD	PBDPPHT	PHTHDCP	BTPCDPT	DBSDTDT	TDDTSSP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/667145204385579009/667228595487244299/Screenshot_4.png	Diamond	0	PCBTPPD	HDHSCTP	SSPBCPP	DPSCCDP	SPSPBPS	PPBTSBT	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/666872924967403550/667475033181913099/1085660_20200114214312_1.png	Clover	1,4	PCCBCDT	DCDHDCT	BHSPDPP	DBSHSPB	TBSCTTC	BPHSCTH	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://media.discordapp.net/attachments/667499790950465537/667518703914582026/039530b6a0bae5f66aed3a50ab786777.png	Blank	0,2	PCCBSBC	PDHBSTD	SHCCDSC	SBCHHPB	DDDDSCB	BPBDDDP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/666873697763590144/667564210905153536/unknown.png	Blank	1,2	PCCCHCS	SBCTSBT	TBCDBTB	BPHCTTC	PBSDTDC	PCSTTBS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Destiny 2 Screenshot 2020.01.16 - 23.32.20.24.png	Snake	3,5	PCCPPBT	DPTDCTD	PTBCBHC	PTHDTDP	BTTSBDB	SBPTTPC	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/667145204385579009/667242007177199626/unknown.png	Hexagon	4	PCCSPCB	CTTPHTC	TTDPSSH	DHPHPDD	DHTSTSD	SHSCTPH	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/666872924967403550/666901342631100416/unknown.png	Clover	0,3	PCCTDSS	BTBSPTH	STTDSCT	SCTDTDS	PPDTCPC	BPTBPPS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/666873697763590144/666955976498479124/emblem_room.jpg	Snake	5	PCDBSPP	CBHHBHC	HPSSTHH	CSSBDBB	DCHCSPC	SBSDHBS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/a22998113c23b705ad9603b7062d019f	Blank	0,2,3,4	PCDBSSC	DDTCDBP	HPCPCBS	TBSBSCB	TCDHHCT	TBTTCSH	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://imgur.com/a/itEEMHe	Blank	1,3	PCDDHDP	BHCPCDH	DBDPDCH	DDSTBDH	CTSHPPD	SBDPTBB	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://media.discordapp.net/attachments/667499790950465537/667539439420964875/a73a54e7f97be54e0268d69de5837f50.png	Blank	1,2	PCDSSPC	TTTTHSC	BTCPTHH	HBCTPHP	HCBBPBD	BSPCHCS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://i.imgur.com/12pf34z.png	Blank	0,1,2	PCDTBHT	DBTTBDP	PSPDHBC	HHBPTSC	BBBBBBB	BBBBBBB	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://imgur.com/mEGyx34	Blank	0,1,5	PCDTDSS	THCBHTD	SSHHTDD	HTTDDST	DHBCHDB	DTDDTBP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/658847244597985310/667405258594713619/20200116112139_1.jpg	Blank	1,2,5	PCHBCBB	SDCHCPD	CBHDPTC	SSCTHPP	DPHCTCD	TCCPHHT	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/666873697763590144/667055966206033921/tiger_release_final_20200115_110956.png	Hexagon	2,4,5	PCHBDST	TSTCHPS	PHDPSSD	DBDTDBD	PHTCBBB	DSCCTCT	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Destiny 2 Screenshot 2020.01.16 - 22.49.30.99.png	Blank	5	PCHBHHB	DSDTDPH	CHCDSCD	TPBSPTB	TDHBSDS	BBHPBHT	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://drive.google.com/file/d/1Cq0huTdxuXVFWIW6FqAoOMv02E7SAgzU/view?usp=sharing	Blank	1	PCHBTHP	TSCCHHS	CHSBPDP	BBBBBBB	DBDTBHD	PCTCHCH	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://media.discordapp.net/attachments/666873697763590144/667430802245681192/unknown.png?width=873&height=736	Diamond	5	PCHDCHS	BHBBSCC	HSBTBDP	PTHCCPT	BSCHDCH	TTBSCTD	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/558092952526913558/666866826877075487/SPOILER_unknown.png	Diamond	0,1,4	PCHDSBS	SPPHHDB	TPBBPST	SSCPPDP	PCHCCTD	SPHSHHS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/666872924967403550/666876224584417320/timeline1.PNG	Snake	2,5	PCHHDDP	HCBBPBD	DDPPSPH	SDDHPHC	SHCCBHB	PBPCCHD	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://i.imgur.com/s8IxjwS.jpg	Blank	2	PCHSDBP	DPHCTCD	BHBTBCC	TPPCTTH	CCCDPSC	DCBPBPB	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://images-ext-2.discordapp.net/external/QePJf1TO7LC8PnrRyuUsqG273oMEcj8NLhDwVNYPbbI/https/i.gyazo.com/thumb/1200/28a79d0254f0a4e6b4926ae73d3941c4-png.jpg	Blank	2,4	PCHTBPC	TDPHDTH	BBHDTHD	TBCCPHC	DHBDHST	BSHDSTC	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://imgur.com/a/Qosi4BE	Blank	2,4	PCHTCTB	PSHBBTB	BCDHTHS	DHPBCTC	PPDCPDB	CSSBPTB	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://pasteboard.co/IQ7YIYq.jpg	Blank	0,3	PCPCCCT	CDSCSBP	CBPCPBC	PPPDTSB	TDDDCBD	CHCPTHP	Verified		Double checked, Paralyzia256		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://drive.google.com/open?id=1l0c0ePQBhQxDQ4MVG1YJwXSFUQWfA-xY	Blank	1,4,5	PCPCPTD	THSSDCD	BDPCCPH	DHCPBBB	CSCCPCB	SDTSPST	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://media.discordapp.net/attachments/666872924967403550/667382860767821834/Destiny_2_Screenshot_2020.01.16_-_04.40.03.07_2.png?width=720&height=405	Plus	2	PCPTHCB	HHPHCST	BBBCDBC	SBCCHTS	TBSSDSS	DBHDSHD	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/666872924967403550/667223990770597888/11.png	Plus	2	PCPTHCB	HHPHCST	BBBPDBC	SBCCHTS	TBSSDSS	TBHTSHD	Verified				TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		Small mistake here	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
https://i.gyazo.com/15858a142c535e0f0bb50e4bf0153a6b.jpg 	Blank	1,2,5	PCSBBCT	TTCBPDH	CTPCTCT	HDPPBHD	TTDSTHP	PPCBBCB	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://drive.google.com/open?id=1AsjdrgI7Zu8WIcg7WZnShPEylQPSz9O5	Hexagon	4	PCSBSPD	SSTPTSS	PHSPSTS	SDCHPBH	SCDHDPD	DCBPDBC	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://imgur.com/a/qm22hHr	Blank	4	PCSDDHD	DTTPHCT	BBSDHBS	BSSHSTT	BPTDCCH	TBHDPCS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gamerdvr.com/gamer/sodac/screenshot/14484551	Blank	1,2,5	PCSHSHB	BSHBSSD	HHTDCDD	TCCHCTS	DBHTPSC	PBBDHTC	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://i.imgur.com/k3Vvxib.jpg	Blank	0	PCSPCHH	BPBHBDH	PTDSPPT	DHPTHSC	SDSSDHB	TBTBHBP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://media.discordapp.net/attachments/667145204385579009/667747321681018880/82428885_202802477430572_8212911457835155456_n.png?width=600&height=338	Blank	1,4,5	PCSSTPT	STTCHPC	SHPTCSB	PHPSTBT	TDDHPDP	CBDSSDH	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/bb80988627aa22bcc462f87ca332c52a	Clover	0	PCTBDCC	BBBBBBB	BBBBBBB	SHHCHTS	TCTTDCH	HTCTCPP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/666872924967403550/667205983231279104/8.png	Blank	2,3,5	PCTCSCT	TCSPPHC	STBDDDB	HPCTSCS	PCPTSHP	SSPSCDD	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://media.discordapp.net/attachments/667596530798166017/667597413179064363/tiger_release_final_20200116_215936.png?width=1202&height=677	Blank	2,4,5	PCTDBCP	SDHPDDC	CBCHHSC	DSBPHHH	DPPBCTD	TCTPTSP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/7cbb22aa67c7d39dd470350f8ddf8991	Snake	3	PCTDPHP	HSBHDCT	PSTSDBT	TPHCPHC	SDDBDHD	BTHPSPC	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://media.discordapp.net/attachments/667145204385579009/667234266245234688/image0.jpg?width=1341&height=755	Diamond	0,1	PCTHCTC	TCBTBCH	CCCHBSH	HCCPCHT	HHSSDCC	DDTBPTH	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://drive.google.com/open?id=1MEUynX3G5_zb9MMh15W5AKbhQb_kO-8Q	Clover	0,5	PCTPHSC	TPSDPPD	DBBTHDH	CBHDSSS	SPBHHBT	BCSHBPS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://i.gyazo.com/thumb/1200/9280b3d354897bbffecd80933eae4528-png.jpg	Blank	1	PCTTHCH	PHSHCTS	DTSTDDH	BPCHSDC	THCTPBS	HTPBDBS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/666872924967403550/667426517470412860/20200116173854_1.jpg	Blank	4	PDBBBDP	CCPTDBC	HCBSBHB	CPDTDHS	DPSHHBC	CDDTPPP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://imgur.com/a/iq397ER	Blank	1,5	PDBCHDD	HDTPSSC	DPCHPDD	PCDDHDP	BSDSHPB	TTDDSSH	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/2a5ecc299a503a3b614de59a7ff081b4	Snake	0	PDBHBDH	SPHDSBB	DCHPHPS	CBBDBHD	SHPCTCH	SSSPSSB	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Destiny 2 Screenshot 2020.01.17 - 03.30.43.07.png	Blank	0,4	PDBPHSB	BCPDBPD	STBSDBD	TCBCSHD	HPBHSTD	SBPDHSH	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/8d633edcccfa6e5bac0e4ee6de14f20e	Hexagon	1,2,4	PDBPTBT	PBSTHSP	TBTSSCD	DTSTDPC	DPHCDSS	HCDBDDP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://media.discordapp.net/attachments/667499790950465537/667499813377540136/c42d3c43e2b3aa51865e176d434648ab.png	Blank	1,4	PDBSCDT	DPCDHHT	DSHBCDT	BSCBTTS	PTCTBTS	HHCSDCS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://imgur.com/7scWmwi	Blank	1,2,5	PDBSPPD	SCDCSST	TDTCDSP	CPHBSCT	HCDHPHB	SBDBCTD	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://drive.google.com/open?id=1h7ug55FifFGgpbWryGZ5ZyHOAne0_vVM	Blank	3	PDBSTHD	TBSBPBH	DDHBTHD	BBDSPSD	CDTTHPS	STHCPST	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/837beb6be7498dae52f25da80ad170b5	Blank	5	PDBTBCD	BDDPTDB	CBBCSPD	SBSBPHS	HSHBBPS	TBCCTCC	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://media.discordapp.net/attachments/666873697763590144/667382636788056064/20200116065249_1.jpg?width=1073&height=604	Blank	1,3,4	PDBTBDT	TCCSBSS	BPHHHPH	SBSCBDP	PCBSPBD	PBCSTBS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/e44f198654aaac56ade009c80ee65813	Blank	4,5	PDBTSCC	PCSHBHB	SCCHCPS	CHTSDSP	BPTBTTT	CPTSPHB	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://drive.google.com/open?id=1UcscMo21mCyDZcU3GSoZ_i2Px_m5OqQI	Blank	1,2	PDCCSBB	SHTBCHT	SPSPHHC	HSDDSTD	PDBBHHS	BTHHCHP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/5a7f505bf1a51a131c029a23b1714129	Snake	1,2,3,5	PDCDDCD	 CHTSSCD	SHTPCCC	CHPSPSB 	TPDBDDP	CDBHCBT	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/df3f7800aeaba27cbf116ce304f3c3f0	Blank	3	PDCHPPS	CDDPPHC	PTCPPPH	BCCTSDC	TPDBTBB	CHPTCSP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/34838892cfc53be0ab60eb866e7bb355	Plus	1	PDCPCCB	SDCSTTD	PCBTDPP	PPTPPHC	CDCBDPT	PSHSTSC	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/d9d1216dfa9d7530fc578aa9ebc3f3c9	Blank	0,2	PDCPTCC	CCDHPTP	SCDCBPS	DBHSBPC	CSPDDTH	SCBBCPT	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/666873697763590144/667212376365334538/SummonerCypress_Destiny2_20200116_03-39-40.png	Blank	0,3	PDCSBCP	SCSTPTT	SBTPBST	SPBTSSH	BBBBBBB	BBBBBBB	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://imgur.com/a/Nzkr6eU	Snake	5	PDCTBPP	PHTTDHH	CDHBHDT	SHHDPPC	BPBPDTT	TPHTCPD	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/666872924967403550/667384509402054671/code_warlock.png	Clover	1,5	PDDBPSD	SHCCTHH	DPDBSBP	PCTCSCT	HTSDPDH	PDPHBPC	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/667777756435841025/667788284638003219/tiger_release_final_20200117_100629.png	Blank	1	PDDHDDP	BCCSSSC	SSSCDHB	PBDCBTB	TCPDHCB	TBTCCSP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://puu.sh/F028O/c4169dfc03.png	Blank	3,5	PDDHHHH	DPBSHST	DBDCPPH	SCDSCDD	HSCHSCP	SCDCBPS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://i.gyazo.com/thumb/1200/39b930b9c96b8bfe27b803f57cd2ce22-png.jpg	Blank	0	PDDPBSB	BHTPSSS	SBHTHHH	BTCPHHS	DSBCDSS	DTDCBBB	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://i.imgur.com/vdwwDNN.png	Blank	2,5	PDDPCTC	PHHDTST	DCDTCHB	SPDPHHP	BHBSSDH	THHDDPP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/485534433059930114/667250620243378187/PS_Messages_20200116_001434.jpg	Blank	1,3,4,5	PDDSSDD	SPHBBBS	TBPPSHT	CCHPHDP	DBPSTST	PCSBDSH	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/667486768941236235/667559544964251689/Destiny_2_Screenshot_2020.01.16_-_19.19.13.69.png	Blank	2,5	PDDTHDT	SSBPSPD	HPCSBHT	TSSBSSH	HBHBPDH	CCTTCPS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/638686462094737408/667004533586788353/20200115163213_1.jpg	Blank	0,1,4,5	PDDTHSC	PSTSPSS	HDPCTTP	CSDHDSB	CSDSBTP	DPSSPCS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/81ef3bfbbb792f57a50749800666d0b9	Blank	0,1,4,5	PDDTHSC	PSTSPSS	HDPCTTP	CSDHDSB	HSDSBTH	DPSSPCS	Verified				TRUE	TRUE	TRUE	TRUE	FALSE	TRUE		Small mistake here	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
https://cdn.discordapp.com/attachments/667777756435841025/667785330660868146/tiger_release_final_20200117_122605.png	Diamond	1,4	PDHBBHT	BCSBDCT	BCSSCHH	PDPSTHS	HTPDHHP	BTTPHDS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://imgur.com/M8r0amT	Blank	1,4	PDHCTBC	TBBTCHS	TBBTTBD	BPTPCTD	DPPCTBT	DPCPHSP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://i.gyazo.com/thumb/1200/10bdb2a571e26f254e7be574177704e0-png.jpg	Blank	1	PDHDCTD	DSHDBCT	STSDDHC	HTPSCTC	SHPBPTT	BDTSCSC	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/667777756435841025/667890124763168768/tiger_release_final_20200117_170917.png	Blank	1,4,5	PDHHBHT	BHTTTTB	SDCTTCC	CSHTPHH	TBPBDBD	BBCPHHT	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://steamcommunity.com/sharedfiles/filedetails/?id=1970089404	Blank	2,4	PDHHSBT	TTDHBSH	PPPPHHB	CPSTDHP	SPPCCHB	PPCBCTP	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://cdn.discordapp.com/attachments/666873697763590144/666874515699269653/20200114234957_1.jpg	Snake	4,5	PDHSCSB	CSPHPBH	CCHTDHB	DHPCCSB	TDTTBTS	PTCCPSD	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://media.discordapp.net/attachments/667499790950465537/667528698819510294/9c615c6c11a2eca18e2f55b0f6f4c028.png	Blank	1,4	PDHTBPT	DTHCSTB	PBPSCSS	DSSBPCH	HCTHPCC	CBPHCDD	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://gyazo.com/5b65ef4ba6673fdbd433f0b86076fb18	Blank	1,4	PDHTHDB	BHHBDCP	CHDBSBD	TSHCBSB	PPDHDCP	DCCBCPS	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
https://i.gyazo.com/thumb/1200/70d7ebb0e1b201d54746a3fca8985c2e-jpg.jpg	Blank	4	PDHTSST	CBCSCTD	BSBPSDH	SBTPPSD	BBDTBBH	CCCHPCB	Verified				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
